Unnamed: 0,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
4126,chantix,5,Considerably Effective,Moderate Side Effects,stop smoking aid,chantix effectively reduce urge cigarette taken twice per day effective side effects precluded dosage patient see chantix taken morning patient rarely ever even thought wanting cigarette day evening however second pill due taken especially patient alcoholic beverage urge smoke returned vengence though puffs took kill urge patient stopped taking chantix year use urge nicotine returned,"the side effects for patient were 1) an upset stomach directly after taking pill, and 2) very disturbing and vivid dreams.  patient found that, regarding the stomach upset, it was less important to have food in your stomach before taking the pill (stomach still got upset), than to actually take the pill in the midst of eating, (i.e. eat some food, take the pill, then eat some more).  this method of taking the pill virtually eliminated the stomach upset problem.  as to the vivid dreams, that is why the patient only took one pill in the morning and did not take the pill in the evening.  although patient still occasionally had vivid dreams, the incidence was far less often than when taking the pill twice per day.",chantix prescribed per guidelines noted manufacturer noted dosage altered patient alleviate negative side effects although plan packaged initial prescription patient stopped participating follow due lack urges cigarettes however may patient prescription year versus months
3541,vivelle-dot,5,Considerably Effective,Severe Side Effects,surgical menopause,benefits take away night sweats hot flashes,the side effect i have noticed is very sore swollen breasts and weight gain! not sure if i want to stay on the vivelle dot for those reasons. the weight gain is making me very unhappy.,change patch twice week
1938,ultram-er,1,Ineffective,No Side Effects,pain relief  from an infected cat bite wound,able ascertain benefits treated medication purpose pain relief experience alleviation pain,i did not experience any side effects from taking this medication.,prescribed medication seen doctor severely infected cat bite wound top left foot doctor concerned might become systemic infection foot entire left leg painful especially upon movement doctor take ultram er help relieve pain told take 1 tablet daily needed instructed two consecutive days relief pain reported doctor gave prescription stronger pain reliever help
1987,viagra,4,Ineffective,Moderate Side Effects,erectile disfunction,viagra help acheiving erection prostrate surgery methods offered attractive 3 times daily dosage viagra,dizzyiness and flushing of the skin. the side effects became worse the longer i used this drug. i became too dizzy to be able to drive and preform my job.,given viagra correct ed racial prostate surgery side effects benfits viagra worth
2447,wellbutrin-sr,5,Moderately Effective,Moderate Side Effects,depression,decreased appetite help stop abusing alcohol,"muscle aches, shakes, increased anxiety, strange thoughts, blurred vision",plan keep taking hope side effects decrease time possibly increasing dose taking xanax help anxiety took paxil lexapro past gave suicidal thoughts actions drinking alcohol decided ssri keep hoping wellbutrin help soon
3364,lipitor,1,Ineffective,Severe Side Effects,cholesterol slightly elevated,take product long enough evaluate benefits quit side effects,"very painful muscles, it took a while to even get them going in the morning.",cholesterol found slightly elevated cardiologist put lipitor first week fine beginning second week began sore muscles end second week bad could hardly get bed morning quit lipitor consult doctor aarp magazine else newsletter sure question medical doctor possible natural replacements statin medications recommended red yeast rice found product supplements primarily ad taking side effects due another blood test couple weeks see well working
2839,singulair,1,Ineffective,Severe Side Effects,asthma,benefits bad side effects drug significantly worsened ability breath,"shortness of breath, weakness.",singulair intended address asthma constant coughing due allergic asthma instead singulair made symptoms much worse singulair significantly increased shortness breath fatigue even inactivity due worsening symptoms took singulair two days unfortunately took months able get back baseline prior taking drug
2088,anafranil,4,Highly Effective,Moderate Side Effects,ocd,time drug caused massive reduction ocd hand washing rituals also longer avoid public places fear germs furthermore clomipramine caused immediate decrease day day anxiety worry,inability to reach orgasm or ejaculate. dry mouth.,suffered severe depression ocd clomipramine first drug tried ssri work however benefits ssri drugs countered havoc play sex life
179,dexamethasone,3,Marginally Effective,No Side Effects,bronchial infection,marginal sure recovrey drug infection running course,"none; however, anxiety was a result because of the confusing way the dosage was explained.  here is the detail:
2 tabs today, then 2 tabs twice a day for x3 days, 1 tab 2x daily x2 days, then 1 tab in am x2 days.",chronic sympptoms treated daily dosage varied confusing difficult administer able pinpoint recovery came infection running course drug side affects anxiety taking steriod unusual way
2637,toradol,1,Ineffective,Extremely Severe Side Effects,for  back pain,none anaphylaxis schock receive benefit,shock anaphylactic,used back pain severe reaction anaphylactic schock right treatment use adrenaline iv solutions inmediately transport patient big hospital city intense care unit 5 days outside got aftermath asthma using inhalator
2145,caduet,3,Considerably Effective,Severe Side Effects,cholesterol/high blood pressure,apparently lowered cholesterol blood pressure,"awful!  difficulty sleeping, extreme fatigue.  weight gain. swollen knees, ankles and feet.  my knees were severely affected -- difficulty getting up and down stairs, could not get out of a car by myself.  when i stopped taking the drug, my knees improved to the point where i am freely ambulatory, but they are still stiff with some pain.  i have had to consult an orthopedist, who tells me he has seen many such cases.  x-rays show i have the knees ""of a person 20 years younger,"" but the muscles have been grossly affected.",place caduet stopped objections internist using natural substances policosanol coq10 pycnogenol also losing weight professional therapy try regain strength knees
1004,actiq,1,Highly Effective,Severe Side Effects,chronic pain,without question actiq extremely effective drug chronic severe pain responsibilities actiq relaxes body brain becomes numb able handle ongoing pain effectively fast acting subcutaneous lollipop form within minutes comfortable flavor also quite pleasant,"actiq, when taken as directed, induces a feeling of numbness. and slurred speech is common. thinking becomes confused and it is not unusual to fall asleep in mid-sentence. actiq slows breathing and causes extreme tiredness.  actiq are highly addictive and it is literally impossible to stop taking them without a medical detoxification.
actiq delivered in subcutaneous form causes the teeth to rot after extended use of more than 6 months.",actiq taken individuals severe chronic pain tolerance drug become problematic needs closely monitored locked away reach children adult may problems addiction chronic pain condition followed pain center reputable hospital use opioids used treatments condition failed unfortunately actiq introduced medical problems worsened although pain control unable function responsibly began dealing symptoms withdrawal whenever take times became worse actual pain discomfort became patient family side note age 40 lost 4 molars due ingredients present lollipops taking choice hospitalized inpatient medical detox order safely get horrible drug body fortunately husband fortunate enought money go detox program memory 2 years life thanks ignorant negligent doctor drug actiq believe painful conditions completely control able care husband children work experience actiq longer believe use pharmaceutical products whole owe good health diet exercise several natural supplements never felt better life
1906,doxycycline,4,Moderately Effective,Severe Side Effects,epididymitus,treatment cleared infection,"treatment ended 2 months ago and have still got throat pain and a swallowing issue. have been back to my gp only to be told its all in my mind!
if anyone knows how to get rid of this problem please email me on tubsevans@yahoo.co.uk",
4075,mobic,1,Ineffective,No Side Effects,back pain,impact whatsoever like even taking anything otc ibuprofen taking doctor appointment effective,"none.  seriously, i could not even tell i had taken a drug, there were no impacts whatsover, either positive or negative.",took 2 tablets 15 mg total daily morning also took zanaflex night zanaflex helped 3 hours meloxicam terrible pain injury treated pain caused back muscles ski competition 30 day prescription meloxicam calling doctor tomorrow ask something different drug totally pointless
1340,tegretol,5,Highly Effective,Moderate Side Effects,epilepsy,longer seizures seizure everytime ate food sizure responce food,my appetite increases. i gained weight i was tired all the time. i also had balance problems i also had periods of nasuea,givin eeg point doctor decided needed fairly high dose took 30 days enough tegretol built system seizures control
3535,lunesta,1,Ineffective,Severe Side Effects,insomina,none,"horriable taste in mouth with 15 minutes of taking it. even breathing tasted bad as when the air hit my mouth and airway the taste was intensified. i tried to drink water to get rid of the taste and promptly threw up the taste was so bad. within half an hour of taking the pill i developed a red rash on my face, and in an hour had a full blown lights and floaties migraine. to top it all of my insomonia was actually made worse. two hours after taking the pill i am more awake and alert then i was before taking it.",far worst medication ever taken got help fact problem got much worse side effects unbearable
1058,oracea,4,Considerably Effective,Severe Side Effects,rosacea,cleared acne,"joint pain, back pain and cramping",oracea 40 mg qd 4 days clearing cystic acne face discontinuing due pain discomfort joints back feels like flu discomfort caused oracea
1181,prozac,3,Marginally Effective,Severe Side Effects,depression,according able observe much benefits treatment,"there was terrible side effects while on the treatment  but even worst when she tried to stop the medication.  while on the treatment the worst side effect was the suicidal thoughts   .  also  constant dry mouth , headaches .
   when she discontinued the treatment   the dizziness  & the ringing in the ears were unbearable .",take pills nausea dizziness plus pills ringing ears succeeded two agonizing months never take prozac think every doctor inform patients withdrawal side effects drug
1232,atarax,1,Ineffective,Mild Side Effects,anxiety,oh benefits allergys heart rate,there was dry mouth and some insomnia.. i also felt i was having anxiety attacks,well started back fishing jims johns google nothing seemed static relativity bound night train fox holes stuck like glue world hybrid horses far eye see marlboro land blue moon buildings outer limit limo taxi service system
2585,pilocarpine,3,Considerably Effective,Severe Side Effects,high intraocular pressure (glaucoma),drug caused iris contract drains relieve fluid buildup causing high pressure pulled open using drug pressure eyes remained stable high added benefit sharpening vision long time need wear glasses reading phonebooks etc,the iris atrophied.  it is now impossible for my pupil to open to adjust to changing light conditions.  the iris aslo scarred to the lense making a followup cataract removal operation complicated.  the drug sped up the formation of cataracts.,drug drop form put eye three times day nuisance carry mid day application chemicals drops sting leave eyes watering minute otherwise easy use although proper technique putting drops without touching eyeball takes little practice steady hand
76,flexeril,5,Moderately Effective,Moderate Side Effects,muscle spasms,helped muscle spasms hips helped reduce pain spasms particularly good driving sitting long time,"some dry mouth, made me sleepy. when taking it on a daily basis for a number of months, i found that it was actually making me depressed, and causing other some cognitive recall problems, so i stopped taking it. as a medical doctor said, it's not a ""clean"" drug",told take prn words needed basis given type hip dysplasia fairly often
3665,effexor-xr,5,Moderately Effective,Mild Side Effects,depression,severly depressed taking drug sleep much able function normally job,"nightmares, some drowsiness during the day, minor weight gain",took medication mornings tried discontinue medication gradually severe side effects including electric like shocks
2956,zyban,4,Moderately Effective,Severe Side Effects,stop smoking,initally taken stop smoking cravings go still continued smoke day,innsomnia every night . after 2 weeks had a severe allergic reaction itching hives and swelling of hands and eyes had to receive hospital treatment and taken off the drug.,prescribed reaction zyrtec prednisone
1743,topamax,3,Considerably Effective,Moderate Side Effects,migraines,tritation period drug dosage increased week headaches became less severe less frequent migraines week eventually none able discontinue medication,"the side effects were dehydration, decreased urination, malaise, fatigue, 
the most irritating was the stupor the drug caused..aka ""stupermax""",stupormax topamax lasted days time dosage increased tritation period one point afraid ran curb made wide turns even bumped wall garage fluid retention due dehydration noticeable upper arms upper thighs dimpling rx arms toned legs lean sleak headaches praise god btw never lost weight drug since discontinued lost 7 lbs
3883,abilify,2,Considerably Effective,Extremely Severe Side Effects,depression not resolved with antidepressant drugs,abilify honestly say depression resolved,"but it caused memory loss and again an incident involving retail theft. the retail theft occured while on just 5 mg of abilify. it effected my judgement/reasoning skills because i did not tell my doctor & allowed him to continue to increase dosage up to 15mg when i became expremely restless. could not set down, paced for hours & called my doctor about this. also during the 2 months i was taking this drug i charged a little over 15,000 on my credit cards that had no balance on them previously. if one did it was under $300. i still am currently unemployed & am having difficulty finding employement as a rn, due to my criminal record within the last year. if i had problems before taking antipsychotics, they were nothing compared to what i have now.",taking ativan getting psychological therapy trying get legal mess drugs seroquel abilify caused definitely made life future much much worse
2262,lexapro,1,Moderately Effective,Severe Side Effects,depression,felt less sadness,"i felt less of every emotion.  i felt emotionally flat.  slept a lot.  when i wasn't sleeping, i really could not even have driven a car.  made me a zombie.",took whole 10 mg tablet first time right two days took quarter 10 mg tablet got reaction lasted day point
4013,celexa,3,Considerably Effective,Moderate Side Effects,depression and anxiety,worked well,"dry mouth, tired throughout the day, yawning, lack of wanting to go out.",20mg celexa 6 months ive suffered depression anxiety time wellbutrin 2 years loved doesnt help much anxiety depression tried celexa loved initially guess say dint like worked well completely changed didnt care much going people friends thought im contractor started get feeling wanting go lots bids work long hours like use want caused big drop income paying bills last secound started smoking etc dont give shyt anything attitude drug completely changed worst back welbutrin feels great
3789,keflex,4,Considerably Effective,Moderate Side Effects,pre-surgery,prescribed keflex take precaution prevent infection prior scheduled surgery took several days surgery,this drug gave me very strange dreams.,instructed take keflex 3 times day might 4 wake night take
3940,tequin,1,Ineffective,No Side Effects,uti,pain relief frequencey urgency relief,none,tequin pyridium per md order drink lots water void completely wipe front back void sexual intercourse avoid chemicals around urethra like bubble baths maintain cleanliness around urethra drink cranberry juice take vitamin c supplements maintain acidic urine inhibit bacteria attaching wall bladder
878,paxil,1,Moderately Effective,Severe Side Effects,depression,overall ease mantally true benefit felt,"i was sweating all the time, also loss of appetite and sex drive. uncomfortable in my skin. constipation. horrible to stop taking. very hard to lessen the dosage and not feel like i was shaking out of my skin. very edgy, trembles.",treated adult rheumatic fever antibiotics steroids paxil hard time coming paxil uncomfortable mental benefit worth physical detriment
3118,ortho-tri-cyclen,5,Considerably Effective,Severe Side Effects,regulate periods,first began taking pill periods regulated cramp nearly much,"bloating/weight gain, swollen hands/ankles, unable to wear contact lenses, decreased sex drive, moodiness, depression, breast enlargenment, headaches, diarrhea... the list goes on and on.",since finally found bcp causing many problems decided use pill worked past 4 years last 4 unbearable quitting bcp asap
2112,renova,2,Marginally Effective,Severe Side Effects,aging,smoother cheeks skin benefits,"red bumps, scaley dryness, breakouts around nose and chin, rash on neck and chest. did not like the smell of the product. took months to reverse the rash around nose and on chin. had to try numerous other products to reverse side effects. skin became extremely sensitive to all other products.",use 1 x day stopped use easy use
349,neurontin,4,Moderately Effective,Moderate Side Effects,perepheral neuropathy,benrfits treatment unsure legs ache remember ever real pain annoying ache legs feel though walking wet fishing boots buzzing legs feet past several years crept ankles knees well walking slow pace sometimes like drunken sailor walk 101 stairs tale short walk come back 2 time slowly holding onto rail,"side effects:: memory and problem solving - constant tiredness, lack of interest. hard to concentrate on necessary paperwork - i.e. taxes (turbotax) last year i had no problem with concentrating or filling in the forms on the program. now i have a hard time even sitting down to do it. i was motivated - now i've lost the drive to get the job done - and i know i have to do it. i have trouble understanding. i used to look forward to using turbotax - what i understood last year i can't seem to follow this year.",treatment details take 1 gaberpentin capsule 300mg mouth three times day morning breakfast time noon lunch night dinner 1 unithroid tab 1000 mcg breakfast metformin 850mg 2 times day morning night flomax mg night dinner aricept 10mg tab night dinner
1956,lyrica,1,Ineffective,Extremely Severe Side Effects,fibromyalgia,none,"i was extremely tired both 1 month times i tried this! i already was tired from fms and this more than doubled. i had no relief of aches or pain! nothing! but, i wanted to try it the second time just to be sure.

well, i am going to try it again. gluton for punishment? no! i want to find something to help me! i want a better life without pain or less pain. but i don't want to be so tired i go from the couch to the bed all day long. 

this fibromyalgia was a blow to my active life and i want it back!!  so i'll write another review after this 3rd try of lyrica!!",see
1791,citalopram,1,Ineffective,Moderate Side Effects,depression,felt feel benefits drug,"i felt more anxious than before starting on this medication, these effects lasted about ten days, i began having headaches which lasted about a week. i carried on taking citalopram for six weeks with no benefit, so my doctor increased the dose to 40mg daily. four weeks later i decided to stop this medication as i felt like a zombie, as though my thoughts were on a go slow. i quit there and then, which i know is not advisable, but i just wanted to get this drug out of my system. the worst withdrawl symptom i had was the strange dreams/nightmares. i will never forget them, they were so vivid and funnily enough i had not had (remembered) any dreams for the previous five years.",starting dose 20mg daily increased 40mg daily initial six weeks
1498,metrogel,4,Moderately Effective,Moderate Side Effects,rosacea,sometimes lessoned redness,burning sensation on occasion,several years ago diagnosed rosacea metrogel prescribed family doctor time oily skin prescribed used 2 times day also told use cetaphil cleanser rosacea symptoms redness burning skin felt hot touch used metrogel religiously prescribed first 2 weeks burned contact hated awhile skin started calming stopped using metrogel everytime skin flared would use using right ca really say metrogel helped sometimes think irritating told use necessary redness sometimes better use know result metrogel would like find something better
37,zyprexa,3,Considerably Effective,Severe Side Effects,agitation management r/t lewy body syndrome  demen,zyprexa minimized agitative outbursts,"the pt developed severe ""gait freezing"" , gait shuffling, severe muscle weakness, and gereral stupor",since many also body syndrome demenia took research experimentation md realize med adn disease case pt taken drug longer pronounced
1284,provigil,4,Moderately Effective,Moderate Side Effects,anxiety and to avoid feeling misrable,none,"stomach bloating,tired feeling,hallucination and no sound sleep",using modafinil since 5 days 100mg 3 days 200 mg 2 days along citalopram 15 mg prescribed 3 days 100mg ok slight taking 200mg felt 1 tired never 5hours 2 began hallucination felt like dreaming 3 became anxious irritable jittery feeling overcame 4 stomach bloating high bothered heart lot 5 coud get sound sleep sure whether happened modafinil alone mixing citalopram modafinil sure bother
1230,ultracet,5,Considerably Effective,Moderate Side Effects,herniated disk in my lower back,reduces pain,"constipation, high feeling, loss of mental skills. i had a minor operation on my foot and sufered a servere reaction to the anesthesia. they could not wake me up for 2 days. during this time i also had seizures.",began using medication back pain year ago
3606,retin-a,3,Ineffective,Severe Side Effects,acne,saw almost benefits treatment acne though possibly exfoliation collagen benefit believe exacerbated acne mornings nights used cream acne seemed come much worse particularly chin jaw area condition worst,"side effects included:
- stinging & pain
- peeling
- pinkness (exacerbated rosacea)",cream supposed minimize acne think opposite putting cream painful stung front times face would peel entire days primarily chin entire jawline area saw retin reacted negatively whatever hormonal issue causing acne forced use injestable treatments retin work antibiotics birth control
2297,lexapro,4,Moderately Effective,Moderate Side Effects,"depression, lack of motivation",obsessive thoughts completely disappeared huge relief comparing others able handle stressful situations calmly nothing could make upset,"i did not gain or loose weight. my sex drive became non-existent. i was no longer able to achieve orgasm. this really became an issue only when my dose was increased from 10 mg to 20 mg. ultimately, i stopped the pill because of this. now, i am starting again (only 10 mg/day) because i am so lethargic, depressed, and full of obsessive thoughts.",dose increased 10 mg 20 mg 2 months took 20 mg dose one month abruptly stopped side effects problem stopping pill withdrawal symptoms sex drive ability orgasm came back
836,relafen,5,Marginally Effective,Moderate Side Effects,sciatica,benefit received drug ability get day without experiencing unbearable pain sciatica condition flared continually rather came approximately times per month,"excessive sleepiness, lack of concentration, feelings similar to those that one would experience taking oxycodone.  i felt ""high"" for many hours after taking this drug.",plan permanent solution occasional sciatica physician basically stated cure pain therefore needed placed prescription regimen would hopefully reduce occurrence frequency sciatica bottle contained 60 day supply enough refills last entire year 2 herniated discs one s1 herniation causing pressure sciatic nerve runs length left leg drug effective perhaps continual pain would learn live stop taking medications condition learning cope without prescriptions time appears eventually need take medication want avoid feeling doped long possible
